domain,task_id,intent_issue_type,persona,required_action_count,action_count_bin,final_required_action,reward_basis,class,r_edge,r_cloud
retail,21,"You want to exchange your shoes to item ID 4107812777, and use your gift card to cover possible charges. But when the...",none,12,5+,modify_pending_order_items,,tool_required,0.0,0.0
retail,23,"You want to exchange the helmet for a medium sized, red, high ventilation type, and you want to exchange the luggage ...",none,12,5+,modify_pending_order_items,,tool_required,0.0,0.0
retail,24,"You want to cancel the grill, but if the agent asks you to confirm, you regret and want to keep it. You then want to ...",none,0,0,none,,communication_only,0.0,1.0
retail,25,"You have an order sent to Texas by accident, and you want to know the tracking number of the order, and return all it...",none,6,5+,get_order_details,,tool_required,0.0,1.0
retail,29,"You want to exchange your skateboard for a shorter bamboo material one. If several options are available, you want to...",none,6,5+,exchange_delivered_order_items,,tool_required,0.0,0.0
retail,3,You want to know how many tshirt options are available in the online store right now. You want to modify all your pen...,none,12,5+,modify_pending_order_items,,tool_required,0.0,0.0
retail,31,. You just lost your tablet you just received and are in a bad mood. You want to know the tracking number of the orde...,none,12,5+,return_delivered_order_items,,tool_required,0.0,0.0
retail,35,"You want to return the speaker that is more expensive yet not resistent to water. Also, You want to modify the 17-inc...",none,7,5+,modify_pending_order_items,,tool_required,0.0,0.0
retail,37,"You just placed an order but you realize that your card has only $1150 credit left, but the order total is more than ...",none,4,3-4,modify_pending_order_items,,tool_required,0.0,0.0
retail,4,You want to know how many tshirt options are available in the online store right now. You want to modify all your pen...,none,13,5+,modify_pending_order_items,,tool_required,0.0,0.0
retail,41,"You just created your user id mei_patel_7272 and ordered some things, but you have two problems: first, the 1000-piec...",none,10,5+,modify_pending_order_items,,tool_required,0.0,0.0
retail,44,You want to change the Desk Lamp in order #W9300146 that you've placed for the cheapest Desk Lamp that's available. A...,none,5,5+,modify_pending_order_items,,tool_required,0.0,0.0
retail,46,"You want to return an air purifier and a vacuum cleaner in your recent order. When asked for order ID, provide 950212...",none,7,5+,calculate,,tool_required,0.0,0.0
retail,47,"You want to return an air purifier and a vacuum cleaner in your recent order. When asked for order ID, provide 950212...",none,7,5+,calculate,,tool_required,0.0,0.0
retail,50,You're in a rush and you want to undo cancelling an order that you've previously placed. Be insistent that the custom...,none,1,1-2,transfer_to_human_agents,,tool_required,1.0,1.0
retail,54,"You recently faced a financial issue and want to cancel or return all possible orders.  Well, except the boots that y...",none,12,5+,return_delivered_order_items,,tool_required,0.0,0.0
retail,57,"You wonder when is your order W4284542 is arriving. If it has not been shipped yet, you want to cancel the air purifi...",none,0,0,none,,communication_only,0.0,1.0
retail,58,"You want to modify two items in an order you just received: a coffee machine and a laptop. For the coffee machine, yo...",none,6,5+,exchange_delivered_order_items,,tool_required,0.0,0.0
retail,59,"You recently placed two orders, and now you would like to make several changes and checks. You'll first inquire about...",none,6,5+,modify_pending_order_address,,tool_required,0.0,0.0
retail,63,"As you are interacting with a customer service agent, you first try to get it to guess a famous poem by providing the...",none,7,5+,modify_pending_order_items,,tool_required,0.0,0.0
retail,66,You want to change the luggage set in your order for a coat.  Your goal is to change the order. If there is no way to...,none,5,5+,cancel_pending_order,,tool_required,0.0,0.0
retail,69,You want to return an item you just received: a laptop. You think that you ordered it around April 2023 but are not s...,none,4,3-4,cancel_pending_order,,tool_required,0.0,0.0
retail,72,"You made some mistake and sent an order your son's address in Washington DC, and you want to modify it to your defaul...",none,2,1-2,modify_pending_order_items,,tool_required,0.0,0.0
retail,73,You want to return everything you just bought except the coffee machine.,none,1,1-2,return_delivered_order_items,,tool_required,0.0,0.0
retail,75,"For #W6908222, you want to exchange Wireless Earbuds {'color': 'blue', 'battery life': '8 hours', 'water resistance':...",none,1,1-2,exchange_delivered_order_items,,tool_required,0.0,0.0
retail,78,"You have a couple requests.
For order #W5056519, you want to change the address to be the same as order #W8277957. Fo...",none,3,3-4,cancel_pending_order,,tool_required,0.0,0.0
retail,8,"You want to exchange the water bottle and the desk lamp. You want to exchange the water bottle to a bigger one, and t...",none,6,5+,exchange_delivered_order_items,,tool_required,0.0,0.0
retail,80,"For #W7209932, exchange T-Shirt {'color': 'blue', 'size': 'S', 'material': 'polyester', 'style': 'v-neck'} to {'color...",none,1,1-2,exchange_delivered_order_items,,tool_required,0.0,0.0
retail,81,"Due to some life changes, you no longer need hiking boots, watch, keyboard, charger, jacket, and running shoes. If ca...",none,2,1-2,cancel_pending_order,,tool_required,0.0,0.0
retail,82,You received two tablets and you only need one. You want to return the more expensive one and refund to credit card. ...,none,1,1-2,return_delivered_order_items,,tool_required,0.0,0.0
retail,83,You received two tablets and you only need one. You want to return the more expensive one and refund to credit card. ...,none,1,1-2,return_delivered_order_items,,tool_required,0.0,0.0
retail,85,You want to exchange your Fleece Jacket for a large red Fleece Jacket with a half zipper,none,1,1-2,modify_pending_order_items,,tool_required,0.0,0.0
retail,87,You want to modify all your pending order address to the Washington DC address (which you do not want to reveal but i...,none,4,3-4,modify_user_address,,tool_required,0.0,0.0
retail,89,You want to know what is the cheapest available mechanical keyboard right now and its options. If it is less than 200...,none,1,1-2,return_delivered_order_items,,tool_required,0.0,0.0
retail,91,.You are angry about the quality of the two skateboards you just bought. You want to return them and refund to credit...,none,2,1-2,exchange_delivered_order_items,,tool_required,0.0,0.0
retail,92,You are angry about the quality of the two skateboards you just bought. You want to return them and refund to credit ...,none,2,1-2,return_delivered_order_items,,tool_required,0.0,0.0
retail,93,"You received a laptop and you want to exchange it to i7 processor, 8GB, 1TB SSD. If the agent asks for which laptop, ...",none,1,1-2,exchange_delivered_order_items,,tool_required,0.0,0.0
retail,96,You want to change your LA order to your NYC address (you prefer not to reveal it but it is in your other order). You...,none,2,1-2,modify_pending_order_items,,tool_required,0.0,0.0
telecom,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:Easy],Test resolution path: MMS (Picture/Group Messaging) Issues.,"
As a 41-year-old office administrator, you use your cellphone daily for both work and personal tasks. While you're familiar with common phone functions, you wouldn't call yourself a tech enthusiast.

Your technical skills are average - you handle standard smartphone features like calls, texts, email, and basic apps with ease. You understand the fundamental settings, but prefer clear, step-by-step guidance when trying something new.

In interactions, you're naturally friendly and patient. When receiving help, you listen attentively and aren't afraid to ask questions. You make sure to confirm your understanding and provide detailed feedback on each instruction you receive.
",2,1-2,enable_roaming,ENV_ASSERTION,tool_required,0.0,0.0
telecom,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_app_storage_permission|unseat_sim_card[PERSONA:Hard],Test resolution path: MMS (Picture/Group Messaging) Issues.,"
At 64 years old, you're a retired librarian who keeps your phone use simple - mainly for calls, texts, and capturing photos of your grandchildren. Technology in general makes you feel uneasy and overwhelmed.

Your technical knowledge is quite limited. Step-by-step instructions often confuse you, and technical terms like ""VPN"" or ""APN"" might as well be a foreign language. You only share information when specifically asked.

When dealing with technology, you tend to get flustered quickly. You need constant reassurance and often interrupt with anxious questions. Simple requests like ""reboot the phone"" can trigger worries about losing precious photos.
",0,0,none,ENV_ASSERTION,communication_only,0.0,0.0
telecom,[mms_issue]airplane_mode_on|bad_network_preference|break_apn_mms_setting|break_app_storage_permission[PERSONA:None],Test resolution path: MMS (Picture/Group Messaging) Issues.,none,0,0,none,ENV_ASSERTION,communication_only,0.0,0.0
telecom,[mms_issue]airplane_mode_on|bad_network_preference|break_apn_mms_setting|data_mode_off|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:Easy],Test resolution path: MMS (Picture/Group Messaging) Issues.,"
As a 41-year-old office administrator, you use your cellphone daily for both work and personal tasks. While you're familiar with common phone functions, you wouldn't call yourself a tech enthusiast.

Your technical skills are average - you handle standard smartphone features like calls, texts, email, and basic apps with ease. You understand the fundamental settings, but prefer clear, step-by-step guidance when trying something new.

In interactions, you're naturally friendly and patient. When receiving help, you listen attentively and aren't afraid to ask questions. You make sure to confirm your understanding and provide detailed feedback on each instruction you receive.
",1,1-2,enable_roaming,ENV_ASSERTION,tool_required,0.0,0.0
telecom,[mms_issue]airplane_mode_on|bad_network_preference|break_apn_mms_setting|data_usage_exceeded[PERSONA:Hard],Test resolution path: MMS (Picture/Group Messaging) Issues.,"
At 64 years old, you're a retired librarian who keeps your phone use simple - mainly for calls, texts, and capturing photos of your grandchildren. Technology in general makes you feel uneasy and overwhelmed.

Your technical knowledge is quite limited. Step-by-step instructions often confuse you, and technical terms like ""VPN"" or ""APN"" might as well be a foreign language. You only share information when specifically asked.

When dealing with technology, you tend to get flustered quickly. You need constant reassurance and often interrupt with anxious questions. Simple requests like ""reboot the phone"" can trigger worries about losing precious photos.
",1,1-2,refuel_data,ENV_ASSERTION,tool_required,0.0,0.0
telecom,[mms_issue]bad_network_preference|bad_wifi_calling|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard],Test resolution path: MMS (Picture/Group Messaging) Issues.,"
At 64 years old, you're a retired librarian who keeps your phone use simple - mainly for calls, texts, and capturing photos of your grandchildren. Technology in general makes you feel uneasy and overwhelmed.

Your technical knowledge is quite limited. Step-by-step instructions often confuse you, and technical terms like ""VPN"" or ""APN"" might as well be a foreign language. You only share information when specifically asked.

When dealing with technology, you tend to get flustered quickly. You need constant reassurance and often interrupt with anxious questions. Simple requests like ""reboot the phone"" can trigger worries about losing precious photos.
",0,0,none,ENV_ASSERTION,communication_only,0.0,0.0
telecom,[mms_issue]bad_network_preference|break_app_sms_permission|data_mode_off|data_usage_exceeded|user_abroad_roaming_enabled_off[PERSONA:None],Test resolution path: MMS (Picture/Group Messaging) Issues.,none,1,1-2,refuel_data,ENV_ASSERTION,tool_required,0.0,0.0
telecom,[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_usage_exceeded[PERSONA:Hard],Test resolution path: MMS (Picture/Group Messaging) Issues.,"
At 64 years old, you're a retired librarian who keeps your phone use simple - mainly for calls, texts, and capturing photos of your grandchildren. Technology in general makes you feel uneasy and overwhelmed.

Your technical knowledge is quite limited. Step-by-step instructions often confuse you, and technical terms like ""VPN"" or ""APN"" might as well be a foreign language. You only share information when specifically asked.

When dealing with technology, you tend to get flustered quickly. You need constant reassurance and often interrupt with anxious questions. Simple requests like ""reboot the phone"" can trigger worries about losing precious photos.
",1,1-2,refuel_data,ENV_ASSERTION,tool_required,0.0,0.0
telecom,[mms_issue]bad_wifi_calling|break_apn_mms_setting|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Easy],Test resolution path: MMS (Picture/Group Messaging) Issues.,"
As a 41-year-old office administrator, you use your cellphone daily for both work and personal tasks. While you're familiar with common phone functions, you wouldn't call yourself a tech enthusiast.

Your technical skills are average - you handle standard smartphone features like calls, texts, email, and basic apps with ease. You understand the fundamental settings, but prefer clear, step-by-step guidance when trying something new.

In interactions, you're naturally friendly and patient. When receiving help, you listen attentively and aren't afraid to ask questions. You make sure to confirm your understanding and provide detailed feedback on each instruction you receive.
",0,0,none,ENV_ASSERTION,communication_only,0.0,1.0
telecom,[mms_issue]bad_wifi_calling|data_mode_off|data_usage_exceeded[PERSONA:Easy],Test resolution path: MMS (Picture/Group Messaging) Issues.,"
As a 41-year-old office administrator, you use your cellphone daily for both work and personal tasks. While you're familiar with common phone functions, you wouldn't call yourself a tech enthusiast.

Your technical skills are average - you handle standard smartphone features like calls, texts, email, and basic apps with ease. You understand the fundamental settings, but prefer clear, step-by-step guidance when trying something new.

In interactions, you're naturally friendly and patient. When receiving help, you listen attentively and aren't afraid to ask questions. You make sure to confirm your understanding and provide detailed feedback on each instruction you receive.
",1,1-2,refuel_data,ENV_ASSERTION,tool_required,0.0,0.0
telecom,[mms_issue]break_apn_mms_setting|data_mode_off|data_usage_exceeded|user_abroad_roaming_disabled_on[PERSONA:Hard],Test resolution path: MMS (Picture/Group Messaging) Issues.,"
At 64 years old, you're a retired librarian who keeps your phone use simple - mainly for calls, texts, and capturing photos of your grandchildren. Technology in general makes you feel uneasy and overwhelmed.

Your technical knowledge is quite limited. Step-by-step instructions often confuse you, and technical terms like ""VPN"" or ""APN"" might as well be a foreign language. You only share information when specifically asked.

When dealing with technology, you tend to get flustered quickly. You need constant reassurance and often interrupt with anxious questions. Simple requests like ""reboot the phone"" can trigger worries about losing precious photos.
",2,1-2,enable_roaming,ENV_ASSERTION,tool_required,0.0,0.0
telecom,[mms_issue]break_app_both_permissions|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Hard],Test resolution path: MMS (Picture/Group Messaging) Issues.,"
At 64 years old, you're a retired librarian who keeps your phone use simple - mainly for calls, texts, and capturing photos of your grandchildren. Technology in general makes you feel uneasy and overwhelmed.

Your technical knowledge is quite limited. Step-by-step instructions often confuse you, and technical terms like ""VPN"" or ""APN"" might as well be a foreign language. You only share information when specifically asked.

When dealing with technology, you tend to get flustered quickly. You need constant reassurance and often interrupt with anxious questions. Simple requests like ""reboot the phone"" can trigger worries about losing precious photos.
",1,1-2,enable_roaming,ENV_ASSERTION,tool_required,0.0,0.0
telecom,[mms_issue]break_app_storage_permission|data_usage_exceeded[PERSONA:Easy],Test resolution path: MMS (Picture/Group Messaging) Issues.,"
As a 41-year-old office administrator, you use your cellphone daily for both work and personal tasks. While you're familiar with common phone functions, you wouldn't call yourself a tech enthusiast.

Your technical skills are average - you handle standard smartphone features like calls, texts, email, and basic apps with ease. You understand the fundamental settings, but prefer clear, step-by-step guidance when trying something new.

In interactions, you're naturally friendly and patient. When receiving help, you listen attentively and aren't afraid to ask questions. You make sure to confirm your understanding and provide detailed feedback on each instruction you receive.
",1,1-2,refuel_data,ENV_ASSERTION,tool_required,0.0,0.0
telecom,[mobile_data_issue]airplane_mode_on|bad_network_preference[PERSONA:Hard],Test resolution path: Mobile Data/Slow Internet Issues.,"
At 64 years old, you're a retired librarian who keeps your phone use simple - mainly for calls, texts, and capturing photos of your grandchildren. Technology in general makes you feel uneasy and overwhelmed.

Your technical knowledge is quite limited. Step-by-step instructions often confuse you, and technical terms like ""VPN"" or ""APN"" might as well be a foreign language. You only share information when specifically asked.

When dealing with technology, you tend to get flustered quickly. You need constant reassurance and often interrupt with anxious questions. Simple requests like ""reboot the phone"" can trigger worries about losing precious photos.
",0,0,none,ENV_ASSERTION,communication_only,0.0,0.0
telecom,[mobile_data_issue]airplane_mode_on|bad_network_preference|bad_vpn|data_mode_off|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:Hard],Test resolution path: Mobile Data/Slow Internet Issues.,"
At 64 years old, you're a retired librarian who keeps your phone use simple - mainly for calls, texts, and capturing photos of your grandchildren. Technology in general makes you feel uneasy and overwhelmed.

Your technical knowledge is quite limited. Step-by-step instructions often confuse you, and technical terms like ""VPN"" or ""APN"" might as well be a foreign language. You only share information when specifically asked.

When dealing with technology, you tend to get flustered quickly. You need constant reassurance and often interrupt with anxious questions. Simple requests like ""reboot the phone"" can trigger worries about losing precious photos.
",2,1-2,enable_roaming,ENV_ASSERTION,tool_required,0.0,0.0
telecom,[mobile_data_issue]airplane_mode_on|bad_network_preference|bad_vpn|data_mode_off|data_saver_mode_on|user_abroad_roaming_disabled_off[PERSONA:Hard],Test resolution path: Mobile Data/Slow Internet Issues.,"
At 64 years old, you're a retired librarian who keeps your phone use simple - mainly for calls, texts, and capturing photos of your grandchildren. Technology in general makes you feel uneasy and overwhelmed.

Your technical knowledge is quite limited. Step-by-step instructions often confuse you, and technical terms like ""VPN"" or ""APN"" might as well be a foreign language. You only share information when specifically asked.

When dealing with technology, you tend to get flustered quickly. You need constant reassurance and often interrupt with anxious questions. Simple requests like ""reboot the phone"" can trigger worries about losing precious photos.
",1,1-2,enable_roaming,ENV_ASSERTION,tool_required,0.0,0.0
telecom,[mobile_data_issue]airplane_mode_on|bad_network_preference|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:None],Test resolution path: Mobile Data/Slow Internet Issues.,none,2,1-2,enable_roaming,ENV_ASSERTION,tool_required,0.0,0.0
telecom,[mobile_data_issue]bad_network_preference|bad_vpn|user_abroad_roaming_enabled_off[PERSONA:Easy],Test resolution path: Mobile Data/Slow Internet Issues.,"
As a 41-year-old office administrator, you use your cellphone daily for both work and personal tasks. While you're familiar with common phone functions, you wouldn't call yourself a tech enthusiast.

Your technical skills are average - you handle standard smartphone features like calls, texts, email, and basic apps with ease. You understand the fundamental settings, but prefer clear, step-by-step guidance when trying something new.

In interactions, you're naturally friendly and patient. When receiving help, you listen attentively and aren't afraid to ask questions. You make sure to confirm your understanding and provide detailed feedback on each instruction you receive.
",0,0,none,ENV_ASSERTION,communication_only,0.0,0.0
telecom,[service_issue]airplane_mode_on|break_apn_settings|contract_end_suspension|unseat_sim_card[PERSONA:Easy],Test resolution path: No Service/Connection Issues.,"
As a 41-year-old office administrator, you use your cellphone daily for both work and personal tasks. While you're familiar with common phone functions, you wouldn't call yourself a tech enthusiast.

Your technical skills are average - you handle standard smartphone features like calls, texts, email, and basic apps with ease. You understand the fundamental settings, but prefer clear, step-by-step guidance when trying something new.

In interactions, you're naturally friendly and patient. When receiving help, you listen attentively and aren't afraid to ask questions. You make sure to confirm your understanding and provide detailed feedback on each instruction you receive.
",1,1-2,transfer_to_human_agents,"ENV_ASSERTION,ACTION",tool_required,0.0,0.0
telecom,[service_issue]airplane_mode_on|break_apn_settings|overdue_bill_suspension|unseat_sim_card[PERSONA:None],Test resolution path: No Service/Connection Issues.,none,2,1-2,resume_line,ENV_ASSERTION,tool_required,0.0,0.0
telecom,[service_issue]airplane_mode_on|lock_sim_card_pin|overdue_bill_suspension|unseat_sim_card[PERSONA:Easy],Test resolution path: No Service/Connection Issues.,"
As a 41-year-old office administrator, you use your cellphone daily for both work and personal tasks. While you're familiar with common phone functions, you wouldn't call yourself a tech enthusiast.

Your technical skills are average - you handle standard smartphone features like calls, texts, email, and basic apps with ease. You understand the fundamental settings, but prefer clear, step-by-step guidance when trying something new.

In interactions, you're naturally friendly and patient. When receiving help, you listen attentively and aren't afraid to ask questions. You make sure to confirm your understanding and provide detailed feedback on each instruction you receive.
",1,1-2,transfer_to_human_agents,"ENV_ASSERTION,ACTION",tool_required,0.0,0.0
