task_id,task_index,hardness,query,reward_edge,reward_cloud,success_edge,success_cloud
student_transcripts_tracking-What is the name and id of the department with the most number of degrees ?,367,extra,What is the name and id of the department with the most number of degrees ?,1.0,1.0,True,True
car_1-Find the make and production time of the cars that were produced in the earliest year?,227,extra,Find the make and production time of the cars that were produced in the earliest year?,0.0,0.0,False,False
orchestra-What are the record companies that are used by both orchestras founded before 2003 and those founded after 2003?,502,hard,What are the record companies that are used by both orchestras founded before 2003 and those founded after 2003?,1.0,1.0,True,True
world_1-What are the regions that use English or Dutch?,209,hard,What are the regions that use English or Dutch?,1.0,1.0,True,True
pets_1-How many dog pets are raised by female students?,116,hard,How many dog pets are raised by female students?,1.0,1.0,True,True
poker_player-Return the money rank of the poker player with the greatest height.,334,hard,Return the money rank of the poker player with the greatest height.,1.0,1.0,True,True
flight_2-Which city is the most frequent source airport?,144,extra,Which city is the most frequent source airport?,1.0,1.0,True,True
dog_kennels-What are the first name and last name of the professionals who have done treatment with cost below average?,295,extra,What are the first name and last name of the professionals who have done treatment with cost below average?,0.33,0.33,False,False
cre_Doc_Template_Mgt-Return the id and name of the document with the most paragraphs.,991,extra,Return the id and name of the document with the most paragraphs.,1.0,1.0,True,True
dog_kennels-Count the number of dogs of an age below the average.,414,hard,Count the number of dogs of an age below the average.,1.0,1.0,True,True
museum_visit-What is the name of the museum that had no visitor yet?,97,hard,What is the name of the museum that had no visitor yet?,1.0,1.0,True,True
world_1-Give the language that is spoken in the most countries.,183,hard,Give the language that is spoken in the most countries.,1.0,1.0,True,True
world_1-Which language is spoken by the largest number of countries?,112,hard,Which language is spoken by the largest number of countries?,1.0,1.0,True,True
car_1-What are the different models created by either the car maker General Motors or weighed more than 3500?,960,extra,What are the different models created by either the car maker General Motors or weighed more than 3500?,0.0,0.0,False,False
pets_1-Find the major and age of students who do not have a cat pet.,396,extra,Find the major and age of students who do not have a cat pet.,0.64,1.0,False,True
car_1-What is the maker of the carr produced in the earliest year and what year was it?,779,extra,What is the maker of the carr produced in the earliest year and what year was it?,0.0,0.0,False,False
wta_1-What is the first name and country code of the player with the most tours?,787,hard,What is the first name and country code of the player with the most tours?,1.0,1.0,True,True
network_1-Return the names of friends of the high school student Kyle.,167,hard,Return the names of friends of the high school student Kyle.,1.0,1.0,True,True
car_1-What is the name of the different car makers who produced a car in 1970?,792,extra,What is the name of the different car makers who produced a car in 1970?,1.0,0.0,True,False
network_1-Show the names of students who have a grade higher than 5 and have at least 2 friends.,913,hard,Show the names of students who have a grade higher than 5 and have at least 2 friends.,1.0,1.0,True,True
wta_1-What are the first names and country codes for players who won both the WTA Championships and the Australian Open?,671,extra,What are the first names and country codes for players who won both the WTA Championships and the Australian Open?,1.0,1.0,True,True
orchestra-Show the name of the conductor that has conducted the most number of orchestras.,842,extra,Show the name of the conductor that has conducted the most number of orchestras.,1.0,1.0,True,True
orchestra-Show the record companies shared by orchestras founded before 2003 and after 2003.,309,hard,Show the record companies shared by orchestras founded before 2003 and after 2003.,1.0,1.0,True,True
dog_kennels-Which professionals have operated a treatment that costs less than the average? Give me theor first names and last names.,888,extra,Which professionals have operated a treatment that costs less than the average? Give me theor first names and last names.,0.33,0.33,False,False
dog_kennels-Which first names are used for professionals or owners but are not used as dog names?,822,hard,Which first names are used for professionals or owners but are not used as dog names?,1.0,1.0,True,True
"car_1-Among the cars that do not have the minimum horsepower , what are the make ids and names of all those with less than 4 cylinders ?",559,extra,"Among the cars that do not have the minimum horsepower , what are the make ids and names of all those with less than 4 cylinders ?",1.0,1.0,True,True
car_1-Find the model of the car whose weight is below the average weight.,211,extra,Find the model of the car whose weight is below the average weight.,1.0,0.12,True,False
flight_2-What is the abbreviation of the airilne has the fewest flights and what country is it in?,301,extra,What is the abbreviation of the airilne has the fewest flights and what country is it in?,0.0,0.0,False,False
car_1-What is the car model with the highest mpg ?,685,hard,What is the car model with the highest mpg ?,0.0,0.0,False,False
course_teach-What are the names of the teachers and the courses they teach in ascending alphabetical order by the name of the teacher?,422,hard,What are the names of the teachers and the courses they teach in ascending alphabetical order by the name of the teacher?,1.0,1.0,True,True
orchestra-List the names of orchestras that have no performance.,434,hard,List the names of orchestras that have no performance.,1.0,1.0,True,True
concert_singer-List all song names by singers above the average age.,267,hard,List all song names by singers above the average age.,1.0,1.0,True,True
employee_hire_evaluation-find the name of employee who was awarded the most times in the evaluation.,786,extra,find the name of employee who was awarded the most times in the evaluation.,1.0,1.0,True,True
museum_visit-find the names of museums which have more staff than the minimum staff number of all museums opened after 2010.,481,hard,find the names of museums which have more staff than the minimum staff number of all museums opened after 2010.,1.0,1.0,True,True
concert_singer-Which year has most number of concerts?,406,hard,Which year has most number of concerts?,1.0,1.0,True,True
network_1-What is the average grade of students who have friends?,169,hard,What is the average grade of students who have friends?,1.0,0.0,True,False
student_transcripts_tracking-Which department offers the most number of degrees? List department name and id.,469,extra,Which department offers the most number of degrees? List department name and id.,1.0,1.0,True,True
employee_hire_evaluation-What is the name of the shop that is hiring the largest number of employees?,201,extra,What is the name of the shop that is hiring the largest number of employees?,1.0,1.0,True,True
student_transcripts_tracking-What is the name of the course with the most students enrolled?,569,extra,What is the name of the course with the most students enrolled?,0.0,1.0,False,True
world_1-What are the names of nations speak both English and French?,907,extra,What are the names of nations speak both English and French?,1.0,1.0,True,True
battle_death-What are the ids and names of the battles that led to more than 10 people killed in total.,365,hard,What are the ids and names of the battles that led to more than 10 people killed in total.,0.2,1.0,False,True
car_1-Which are the car makers which produce at least 2 models and more than 3 car makers ? List the id and the maker .,545,extra,Which are the car makers which produce at least 2 models and more than 3 car makers ? List the id and the maker .,0.0,0.86,False,False
pets_1-What is the average age for all students who do not own any pets ?,441,extra,What is the average age for all students who do not own any pets ?,1.0,1.0,True,True
voter_1-List the area codes in which voters voted both for the contestant 'Tabatha Gehling' and the contestant 'Kelly Clauss'.,476,extra,List the area codes in which voters voted both for the contestant 'Tabatha Gehling' and the contestant 'Kelly Clauss'.,1.0,1.0,True,True
wta_1-What are the names of players who won in both 2013 and 2016?,359,hard,What are the names of players who won in both 2013 and 2016?,1.0,1.0,True,True
concert_singer-What are the names of all stadiums that did not have a concert in 2014?,483,hard,What are the names of all stadiums that did not have a concert in 2014?,1.0,1.0,True,True
world_1-What is the total number of people living in the nations that do not use English?,708,extra,What is the total number of people living in the nations that do not use English?,0.0,0.0,False,False
cre_Doc_Template_Mgt-Which template type code has most number of templates?,769,hard,Which template type code has most number of templates?,1.0,1.0,True,True
flight_2-Count the number of United Airlines flights that arrive in Aberdeen.,411,hard,Count the number of United Airlines flights that arrive in Aberdeen.,1.0,1.0,True,True
flight_2-How many United Airlines flights go to City 'Aberdeen'?,456,hard,How many United Airlines flights go to City 'Aberdeen'?,1.0,1.0,True,True
concert_singer-What are the names of the stadiums without any concerts?,620,hard,What are the names of the stadiums without any concerts?,1.0,1.0,True,True
flight_2-Which city has most number of arriving flights?,163,extra,Which city has most number of arriving flights?,1.0,0.0,True,False
car_1-What are the names of all European countries with at least 3 manufacturers?,332,extra,What are the names of all European countries with at least 3 manufacturers?,0.0,0.0,False,False
car_1-Which model of the car has the minimum horsepower?,959,hard,Which model of the car has the minimum horsepower?,0.0,0.0,False,False
flight_2-What is the airport code of the airport with the most flights?,285,extra,What is the airport code of the airport with the most flights?,0.0,1.0,False,True
car_1-What model has the most different versions?,514,hard,What model has the most different versions?,1.0,1.0,True,True
flight_2-Which city has most number of departing flights?,695,extra,Which city has most number of departing flights?,0.0,0.0,False,False
concert_singer-Show the stadium name and capacity with most number of concerts in year 2014 or after.,763,extra,Show the stadium name and capacity with most number of concerts in year 2014 or after.,1.0,1.0,True,True
concert_singer-Show countries where a singer above age 40 and a singer below 30 are from.,298,hard,Show countries where a singer above age 40 and a singer below 30 are from.,1.0,1.0,True,True
world_1-Give the names of nations that speak both English and French.,900,extra,Give the names of nations that speak both English and French.,1.0,1.0,True,True
car_1-What is the largest amount of horsepower for the models with 3 cylinders and what make is it?,725,extra,What is the largest amount of horsepower for the models with 3 cylinders and what make is it?,0.0,1.0,False,True
student_transcripts_tracking-What is the date and id of the transcript with the least number of results?,484,extra,What is the date and id of the transcript with the least number of results?,1.0,1.0,True,True
world_1-Give the name of the nation that uses the greatest amount of languages.,871,extra,Give the name of the nation that uses the greatest amount of languages.,1.0,1.0,True,True
world_1-Which countries have greater area than that of any country in Europe?,350,hard,Which countries have greater area than that of any country in Europe?,0.58,0.0,False,False
"car_1-Among the cars with more than lowest horsepower, which ones do not have more than 3 cylinders? List the car makeid and make name.",909,extra,"Among the cars with more than lowest horsepower, which ones do not have more than 3 cylinders? List the car makeid and make name.",0.0,0.0,False,False
employee_hire_evaluation-Which shops' number products is above the average? Give me the shop names.,849,hard,Which shops' number products is above the average? Give me the shop names.,1.0,1.0,True,True
flight_2-Find the number of flights landing in the city of Aberdeen or Abilene.,322,hard,Find the number of flights landing in the city of Aberdeen or Abilene.,1.0,1.0,True,True
flight_2-Which airlines have departures from CVO but not from APG airports?,766,extra,Which airlines have departures from CVO but not from APG airports?,1.0,0.0,True,False
world_1-What is the total population and average area of countries in the continent of North America whose area is bigger than 3000 ?,817,hard,What is the total population and average area of countries in the continent of North America whose area is bigger than 3000 ?,1.0,1.0,True,True
world_1-Which languages are spoken by only one country in republic governments?,809,hard,Which languages are spoken by only one country in republic governments?,1.0,1.0,True,True
cre_Doc_Template_Mgt-What are the codes of template types that are not used for any document?,351,hard,What are the codes of template types that are not used for any document?,1.0,1.0,True,True
wta_1-What is the code of the country with the most players?,418,hard,What is the code of the country with the most players?,1.0,1.0,True,True
dog_kennels-What is the average age of the dogs who have gone through any treatments?,1018,hard,What is the average age of the dogs who have gone through any treatments?,0.0,0.0,False,False
poker_player-Give the nationality that is most common across all people.,243,hard,Give the nationality that is most common across all people.,1.0,1.0,True,True
"world_1-What are the name, population, and life expectancy of the largest Asian country by land?",159,hard,"What are the name, population, and life expectancy of the largest Asian country by land?",1.0,1.0,True,True
tvshow-find the id of tv channels that do not play any cartoon directed by Ben Jones.,229,hard,find the id of tv channels that do not play any cartoon directed by Ben Jones.,1.0,1.0,True,True
pets_1-Find the first name and age of students who have a dog but do not have a cat as a pet.,172,extra,Find the first name and age of students who have a dog but do not have a cat as a pet.,0.5,1.0,False,True
dog_kennels-Tell me the number of dogs that have not received any treatment .,237,extra,Tell me the number of dogs that have not received any treatment .,1.0,1.0,True,True
flight_2-Which city has the most frequent destination airport?,181,extra,Which city has the most frequent destination airport?,1.0,1.0,True,True
cre_Doc_Template_Mgt-Show ids for all templates not used by any document.,934,hard,Show ids for all templates not used by any document.,1.0,1.0,True,True
world_1-What are the African countries that have a  population less than any country in Asia?,477,extra,What are the African countries that have a  population less than any country in Asia?,0.09,0.09,False,False
dog_kennels-What are the names of the dogs for which the owner has not spend more than 1000 for treatment ?,413,hard,What are the names of the dogs for which the owner has not spend more than 1000 for treatment ?,0.5,1.0,False,True
dog_kennels-Find the first names that are used for professionals or owners but are not used as dog names.,374,hard,Find the first names that are used for professionals or owners but are not used as dog names.,1.0,1.0,True,True
flight_2-Which airlines have departing flights from both APG and CVO airports?,288,extra,Which airlines have departing flights from both APG and CVO airports?,1.0,1.0,True,True
flight_2-Which airports do not have departing or arriving flights?,756,hard,Which airports do not have departing or arriving flights?,1.0,0.0,True,False
course_teach-Show names of teachers and the courses they are arranged to teach in ascending alphabetical order of the teacher's name.,261,hard,Show names of teachers and the courses they are arranged to teach in ascending alphabetical order of the teacher's name.,0.0,1.0,False,True
world_1-What are the Asian countries which have a population larger than that of any country in Africa?,886,extra,What are the Asian countries which have a population larger than that of any country in Africa?,0.12,0.12,False,False
poker_player-What are the names of people who do not play poker?,706,hard,What are the names of people who do not play poker?,1.0,1.0,True,True
"museum_visit-What are the id, name and membership level of visitors who have spent the largest amount of money in total in all museum tickets?",408,extra,"What are the id, name and membership level of visitors who have spent the largest amount of money in total in all museum tickets?",1.0,1.0,True,True
poker_player-What is the most common nationality of people?,392,hard,What is the most common nationality of people?,0.0,0.0,False,False
pets_1-What are the students' first names who have both cats and dogs as pets?,472,extra,What are the students' first names who have both cats and dogs as pets?,1.0,1.0,True,True
wta_1-Find the name and rank points of the winner who won the most times.,271,hard,Find the name and rank points of the winner who won the most times.,1.0,1.0,True,True
world_1-What is name of the country that speaks the largest number of languages?,916,extra,What is name of the country that speaks the largest number of languages?,1.0,1.0,True,True
orchestra-List the record company shared by the most number of orchestras.,773,hard,List the record company shared by the most number of orchestras.,1.0,1.0,True,True
employee_hire_evaluation-What are the names of the employees who never received any evaluation?,952,hard,What are the names of the employees who never received any evaluation?,1.0,1.0,True,True
dog_kennels-Find the average age of the dogs who went through treatments.,601,hard,Find the average age of the dogs who went through treatments.,0.0,0.0,False,False
"dog_kennels-Which professionals live in the state of Indiana or have done treatment on more than 2 treatments? List his or her id, last name and cell phone.",914,extra,"Which professionals live in the state of Indiana or have done treatment on more than 2 treatments? List his or her id, last name and cell phone.",1.0,1.0,True,True
employee_hire_evaluation-Find the name of the employee who got the highest one time bonus.,984,hard,Find the name of the employee who got the highest one time bonus.,1.0,1.0,True,True
car_1-What are the ids and makers of all car makers that produce at least 2 models and make more than 3 cars?,873,extra,What are the ids and makers of all car makers that produce at least 2 models and make more than 3 cars?,0.0,0.33,False,False
cre_Doc_Template_Mgt-Show all template type codes that are not used by any document.,760,hard,Show all template type codes that are not used by any document.,1.0,1.0,True,True
"student_transcripts_tracking-What are the first, middle, and last names for everybody enrolled in a Bachelors program?",300,hard,"What are the first, middle, and last names for everybody enrolled in a Bachelors program?",0.0,0.0,False,False
cre_Doc_Template_Mgt-Return the id and type code of the template that is used for the greatest number of documents.,198,extra,Return the id and type code of the template that is used for the greatest number of documents.,1.0,1.0,True,True
employee_hire_evaluation-Find the districts in which there are both shops selling less than 3000 products and shops selling more than 10000 products.,613,hard,Find the districts in which there are both shops selling less than 3000 products and shops selling more than 10000 products.,1.0,1.0,True,True
concert_singer-Show the stadium names without any concert.,323,hard,Show the stadium names without any concert.,1.0,1.0,True,True
network_1-Which grade has the most high schoolers?,377,hard,Which grade has the most high schoolers?,1.0,1.0,True,True
network_1-What is the name of the high schooler who has the greatest number of friends?,680,extra,What is the name of the high schooler who has the greatest number of friends?,1.0,1.0,True,True
flight_2-How many flights land in Aberdeen or Abilene?,205,hard,How many flights land in Aberdeen or Abilene?,1.0,1.0,True,True
world_1-Find the city with the largest population that uses English.,1016,extra,Find the city with the largest population that uses English.,0.0,0.0,False,False
car_1-How many car models are produced in the usa?,813,hard,How many car models are produced in the usa?,0.0,0.0,False,False
world_1-Which African countries have a smaller population than that of any country in Asia?,890,extra,Which African countries have a smaller population than that of any country in Asia?,0.0,1.0,False,True
network_1-Give the name of the student with the most likes.,713,extra,Give the name of the student with the most likes.,1.0,1.0,True,True
world_1-Return the codes of countries that do not speak English and do not have Republics for governments.,1004,hard,Return the codes of countries that do not speak English and do not have Republics for governments.,1.0,0.0,True,False
world_1-Return the different names of cities that are in Asia and for which Chinese is the official language.,526,hard,Return the different names of cities that are in Asia and for which Chinese is the official language.,0.0,1.0,False,True
tvshow-What is the country with the most number of TV Channels and how many does it have?,318,hard,What is the country with the most number of TV Channels and how many does it have?,1.0,1.0,True,True
car_1-What is the maximum horsepower and the make of the car models with 3 cylinders?,795,extra,What is the maximum horsepower and the make of the car models with 3 cylinders?,0.0,0.0,False,False
pets_1-Find the first name of students who have cat or dog pet.,999,extra,Find the first name of students who have cat or dog pet.,1.0,1.0,True,True
course_teach-List the most common hometown of teachers.,722,hard,List the most common hometown of teachers.,0.0,0.0,False,False
car_1-Find the name of the makers that produced some cars in the year of 1970?,683,extra,Find the name of the makers that produced some cars in the year of 1970?,1.0,0.0,True,False
car_1-What is the count of the car models produced in the United States?,130,hard,What is the count of the car models produced in the United States?,0.0,0.0,False,False
museum_visit-What are the id and name of the museum visited most times?,563,extra,What are the id and name of the museum visited most times?,1.0,1.0,True,True
concert_singer-What is the name and capacity of the stadium with the most concerts after 2013 ?,127,extra,What is the name and capacity of the stadium with the most concerts after 2013 ?,1.0,1.0,True,True
flight_2-Find all airlines that have flights from airport 'CVO' but not from 'APG'.,246,extra,Find all airlines that have flights from airport 'CVO' but not from 'APG'.,0.0,0.0,False,False
"car_1-For model volvo, how many cylinders does the car with the least accelerate have?",522,extra,"For model volvo, how many cylinders does the car with the least accelerate have?",1.0,1.0,True,True
car_1-What are the different models for the cards produced after 1980?,313,hard,What are the different models for the cards produced after 1980?,1.0,0.0,True,False
poker_player-What is the birth date of the poker player with the lowest earnings?,565,hard,What is the birth date of the poker player with the lowest earnings?,1.0,1.0,True,True
cre_Doc_Template_Mgt-What is the id and type code for the template used by the most documents?,978,extra,What is the id and type code for the template used by the most documents?,1.0,1.0,True,True
car_1-What are the different models wthat are lighter than 3500 but were not built by the Ford Motor Company?,487,extra,What are the different models wthat are lighter than 3500 but were not built by the Ford Motor Company?,0.0,0.0,False,False
world_1-What languages are only used by a single country with a republic government?,275,hard,What languages are only used by a single country with a republic government?,1.0,0.88,True,False
tvshow-What are the ids of the TV channels that do not have any cartoons directed by Ben Jones?,162,hard,What are the ids of the TV channels that do not have any cartoons directed by Ben Jones?,0.92,1.0,False,True
network_1-What are the ids of high school students who do not have friends?,373,hard,What are the ids of high school students who do not have friends?,0.0,1.0,False,True
network_1-Return the grade that has the greatest number of high schoolers.,407,hard,Return the grade that has the greatest number of high schoolers.,1.0,1.0,True,True
world_1-Which countries have either English or Dutch as an official language?,767,extra,Which countries have either English or Dutch as an official language?,0.0,0.0,False,False
car_1-What is the name of each continent and how many car makers are there in each one?,693,hard,What is the name of each continent and how many car makers are there in each one?,0.0,0.0,False,False
student_transcripts_tracking-Find the semester when both Master students and Bachelor students got enrolled in.,471,extra,Find the semester when both Master students and Bachelor students got enrolled in.,0.0,0.0,False,False
tvshow-find the package option of the tv channel that do not have any cartoon directed by Ben Jones.,355,hard,find the package option of the tv channel that do not have any cartoon directed by Ben Jones.,0.27,0.27,False,False
"student_transcripts_tracking-For each semester, what is the name and id of the one with the most students registered?",1020,extra,"For each semester, what is the name and id of the one with the most students registered?",1.0,0.0,True,False
dog_kennels-How many owners temporarily do not have any dogs?,1030,extra,How many owners temporarily do not have any dogs?,1.0,1.0,True,True
student_transcripts_tracking-What are the last name of the students who live in North Carolina but have not registered in any degree programs?,179,extra,What are the last name of the students who live in North Carolina but have not registered in any degree programs?,0.0,0.0,False,False
flight_2-Which airline has most number of flights?,743,extra,Which airline has most number of flights?,0.0,0.0,False,False
museum_visit-Find the name and age of the visitor who bought the most tickets at once.,1022,hard,Find the name and age of the visitor who bought the most tickets at once.,1.0,1.0,True,True
dog_kennels-Find the owner id and zip code of the owner who spent the most money in total for his or her dogs.,232,extra,Find the owner id and zip code of the owner who spent the most money in total for his or her dogs.,1.0,1.0,True,True
orchestra-What is the record company used by the greatest number of orchestras?,815,hard,What is the record company used by the greatest number of orchestras?,1.0,1.0,True,True
car_1-What is the model for the car with a weight smaller than the average?,667,extra,What is the model for the car with a weight smaller than the average?,0.0,0.0,False,False
"student_transcripts_tracking-Which student has enrolled for the most times in any program? List the id, first name, middle name, last name, the number of enrollments and student id.",512,extra,"Which student has enrolled for the most times in any program? List the id, first name, middle name, last name, the number of enrollments and student id.",0.0,1.0,False,True
dog_kennels-Who owns the youngest dog? Give me his or her last name.,571,extra,Who owns the youngest dog? Give me his or her last name.,0.0,0.0,False,False
"dog_kennels-Which owner owns the most dogs? List the owner id, first name and last name.",852,extra,"Which owner owns the most dogs? List the owner id, first name and last name.",1.0,1.0,True,True
student_transcripts_tracking-What is the semester which most student registered in? Show both the name and the id.,464,extra,What is the semester which most student registered in? Show both the name and the id.,1.0,1.0,True,True
world_1-What is the name of country that has the shortest life expectancy in Asia?,409,hard,What is the name of country that has the shortest life expectancy in Asia?,1.0,1.0,True,True
flight_2-What is the code of airport that has fewest number of flights?,426,extra,What is the code of airport that has fewest number of flights?,0.0,0.0,False,False
car_1-Which distinctive models are produced by maker with the full name General Motors or weighing more than 3500?,212,extra,Which distinctive models are produced by maker with the full name General Motors or weighing more than 3500?,0.0,0.0,False,False
world_1-What is the language that is used by the largest number of Asian nations?,531,extra,What is the language that is used by the largest number of Asian nations?,0.0,0.0,False,False
"car_1-For a volvo model, how many cylinders does the version with least accelerate have?",395,extra,"For a volvo model, how many cylinders does the version with least accelerate have?",1.0,1.0,True,True
network_1-Show the ids of high schoolers who have friends and are also liked by someone else.,308,hard,Show the ids of high schoolers who have friends and are also liked by someone else.,1.0,1.0,True,True
student_transcripts_tracking-What is the maximum number of times that a course shows up in different transcripts and what is that course's enrollment id?,551,hard,What is the maximum number of times that a course shows up in different transcripts and what is that course's enrollment id?,0.0,0.0,False,False
singer-What are the citizenships that are shared by singers with a birth year before 1945 and after 1955?,580,hard,What are the citizenships that are shared by singers with a birth year before 1945 and after 1955?,1.0,1.0,True,True
dog_kennels-Find the states where both owners and professionals live.,440,hard,Find the states where both owners and professionals live.,1.0,1.0,True,True
cre_Doc_Template_Mgt-What is the document id and name with greatest number of paragraphs?,969,extra,What is the document id and name with greatest number of paragraphs?,1.0,1.0,True,True
employee_hire_evaluation-Which employee received the biggest bonus? Give me the employee name.,455,hard,Which employee received the biggest bonus? Give me the employee name.,1.0,1.0,True,True
